"yearid","name","num_wins","total_salaries","win_rank","salary_rank"
2013,"Kansas City Royals","86","$80,091,725.00","12","18"
2013,"New York Yankees","85","$231,978,886.00","14","1"
2013,"Baltimore Orioles","85","$84,393,333.00","14","17"
2013,"Arizona Diamondbacks","81","$90,132,000.00","16","15"
2013,"Los Angeles Angels of Anaheim","78","$124,174,750.00","17","8"
2013,"San Francisco Giants","76","$140,180,334.00","18","6"
2013,"San Diego Padres","76","$65,585,500.00","18","25"
2013,"Colorado Rockies","74","$74,409,071.00","20","23"
2013,"Milwaukee Brewers","74","$76,947,033.00","20","20"
2013,"Toronto Blue Jays","74","$126,288,100.00","20","7"
2013,"New York Mets","74","$49,448,346.00","20","28"
2013,"Philadelphia Phillies","73","$169,863,189.00","24","3"
2013,"Seattle Mariners","71","$74,005,043.00","25","24"
2013,"Minnesota Twins","66","$75,337,500.00","26","22"
2013,"Chicago Cubs","66","$100,567,726.00","26","13"
2013,"Chicago White Sox","63","$120,065,277.00","28","9"
2013,"Miami Marlins","62","$33,601,900.00","29","29"
2013,"Houston Astros","51","$17,890,700.00","30","30"
2014,"Los Angeles Angels of Anaheim","98","$121,988,250.00","1","8"
2014,"Washington Nationals","96","$131,983,680.00","2","7"
2014,"Baltimore Orioles","96","$103,416,000.00","2","13"
2014,"Los Angeles Dodgers","94","$217,014,600.00","4","1"
2014,"St. Louis Cardinals","90","$120,693,000.00","5","9"
2014,"Detroit Tigers","90","$152,855,500.00","5","5"
2014,"Kansas City Royals","89","$74,594,075.00","7","25"
2014,"Pittsburgh Pirates","88","$77,178,000.00","8","23"
2014,"San Francisco Giants","88","$163,510,167.00","8","4"
2014,"Oakland Athletics","88","$72,408,400.00","8","27"
2014,"Seattle Mariners","87","$92,531,100.00","11","18"
2014,"Cleveland Indians","85","$82,151,899.00","12","21"
2014,"New York Yankees","84","$197,543,907.00","13","2"
2014,"Toronto Blue Jays","83","$109,920,100.00","14","11"
2014,"Milwaukee Brewers","82","$101,217,000.00","15","14"
2014,"Atlanta Braves","79","$97,609,000.00","16","16"
2014,"New York Mets","79","$85,556,990.00","16","19"
2014,"Miami Marlins","77","$41,836,900.00","18","29"
2014,"San Diego Padres","77","$75,685,700.00","18","24"
2014,"Tampa Bay Rays","77","$72,689,100.00","18","26"
2014,"Cincinnati Reds","76","$108,217,500.00","21","12"
2014,"Chicago Cubs","73","$65,522,500.00","22","28"
2014,"Chicago White Sox","73","$81,830,500.00","22","22"
2014,"Philadelphia Phillies","73","$180,944,967.00","22","3"
2014,"Boston Red Sox","71","$139,019,929.00","25","6"
2014,"Minnesota Twins","70","$83,762,500.00","26","20"
2014,"Houston Astros","70","$35,116,300.00","26","30"
2014,"Texas Rangers","67","$112,255,059.00","28","10"
2014,"Colorado Rockies","66","$95,403,500.00","29","17"
2014,"Arizona Diamondbacks","64","$97,861,500.00","30","15"
2015,"St. Louis Cardinals","100","$119,241,500.00","1","10"
2015,"Pittsburgh Pirates","98","$88,892,499.00","2","23"
2015,"Chicago Cubs","97","$115,879,310.00","3","12"
2015,"Kansas City Royals","95","$112,107,025.00","4","17"
2015,"Toronto Blue Jays","93","$112,992,400.00","5","15"
2015,"Los Angeles Dodgers","92","$215,792,000.00","6","1"
2015,"New York Mets","90","$96,766,683.00","7","21"
2015,"Texas Rangers","88","$143,742,789.00","8","7"
2015,"New York Yankees","87","$212,751,957.00","9","2"
